module	name	kind	parent_if_visible	line	file
NoCDTrain.Board.NoCDTrainBoardModel	NoCDTrainBoardModel	prototype	BaseSceneBoardModel	1	code/Lua/decompiled/NoCDTrain/Board/NoCDTrainBoardModel.lua
NoCDTrain.Board.NoCDTrainBoardView	NoCDTrainBoardView	prototype	BaseSceneBoardView	1	code/Lua/decompiled/NoCDTrain/Board/NoCDTrainBoardView.lua
NoCDTrain.Board.NoCDTrainItemLayerModel	NoCDTrainItemLayerModel	prototype	BaseItemLayerModel	1	code/Lua/decompiled/NoCDTrain/Board/NoCDTrainItemLayerModel.lua
NoCDTrain.Model.NoCDTrainModel	NoCDTrainModel	prototype		1	code/Lua/decompiled/NoCDTrain/Model/NoCDTrainModel.lua
UI.Button.InventoryButton	InventoryButton	prototype	HudGeneralButton	1	code/Lua/decompiled/UI/Button/InventoryButton.lua
UI.Button.InventoryButton	InventoryBtnFlyItem	table_or_enum_candidate		254	code/Lua/decompiled/UI/Button/InventoryButton.lua
WheelItem.Model.WheelItemData	WheelItemData	table_or_enum_candidate		1	code/Lua/decompiled/WheelItem/Model/WheelItemData.lua
WheelItem.Model.WheelItemModel	WheelItemModel	table_or_enum_candidate		1	code/Lua/decompiled/WheelItem/Model/WheelItemModel.lua
Board.Model.Base.BoardPosition	BoardPosition	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Base/BoardPosition.lua
Board.Model.Base.Matrix	Matrix	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Base/Matrix.lua
Board.Model.Board.BaseActionBoardModel	BaseActionBoardModel	prototype	BaseBoardModel	1	code/Lua/decompiled/Board/Model/Board/BaseActionBoardModel.lua
Board.Model.Board.BaseBoardModel	BaseBoardModel	table_or_enum_candidate		10	code/Lua/decompiled/Board/Model/Board/BaseBoardModel.lua
Board.Model.Board.BaseItemLayerModel	BaseItemLayerModel	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Board/BaseItemLayerModel.lua
Board.Model.Board.BaseSceneBoardModel	BaseSceneBoardModel	prototype	BaseActionBoardModel	1	code/Lua/decompiled/Board/Model/Board/BaseSceneBoardModel.lua
Board.Model.Board.BaseUIBoardItemLayerModel	BaseUIBoardItemLayerModel	prototype	BaseItemLayerModel	1	code/Lua/decompiled/Board/Model/Board/BaseUIBoardItemLayerModel.lua
Board.Model.Board.BaseUIBoardModel	BaseUIBoardModel	prototype	BaseActionBoardModel	1	code/Lua/decompiled/Board/Model/Board/BaseUIBoardModel.lua
Board.Model.Board.BoardDefinition	BoardEventType	table_or_enum_candidate		8	code/Lua/decompiled/Board/Model/Board/BoardDefinition.lua
Board.Model.Board.BoardDefinition	BoardSpreadType	table_or_enum_candidate		78	code/Lua/decompiled/Board/Model/Board/BoardDefinition.lua
Board.Model.Board.BoardDefinition	BoardSpreadTypeName	table_or_enum_candidate		90	code/Lua/decompiled/Board/Model/Board/BoardDefinition.lua
Board.Model.Board.BoardDefinition	BoardState	table_or_enum_candidate		99	code/Lua/decompiled/Board/Model/Board/BoardDefinition.lua
Board.Model.Board.ItemCacheModel	CacheItemType	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Board/ItemCacheModel.lua
Board.Model.Board.ItemCacheModel	ItemCacheModel	table_or_enum_candidate		7	code/Lua/decompiled/Board/Model/Board/ItemCacheModel.lua
Board.Model.Board.ItemChainHelper	ItemChainHelper	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Board/ItemChainHelper.lua
Board.Model.Board.ItemFixedSpreadModel	ItemFixedSpreadModel	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Board/ItemFixedSpreadModel.lua
Board.Model.Board.ItemLuckySpreadModel	ItemLuckySpreadModel	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Board/ItemLuckySpreadModel.lua
Board.Model.Board.ItemManager	ItemManager	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Board/ItemManager.lua
Board.Model.Board.ItemSpreadHelper	ItemSpreadHelper	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Board/ItemSpreadHelper.lua
Board.Model.Board.ItemStoreModel	ItemStoreModel	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Board/ItemStoreModel.lua
Board.Model.Board.MainBoardModel	StoreFailedReason	table_or_enum_candidate		1	code/Lua/decompiled/Board/Model/Board/MainBoardModel.lua
Board.Model.Board.MainBoardModel	MainBoardModel	prototype	BaseSceneBoardModel	2	code/Lua/decompiled/Board/Model/Board/MainBoardModel.lua
Board.Model.Board.SceneItemLayerModel	SceneItemLayerModel	prototype	BaseItemLayerModel	1	code/Lua/decompiled/Board/Model/Board/SceneItemLayerModel.lua
