caller_rva,caller_type,caller_signature,caller_native_file,ghidra_call_target,callee_rva,callee_name_candidates,callee_alias_count,callee_selected_type,callee_selected_signature,callee_native_status,call_occurrences_in_pseudocode
0x3229DBC,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },code/Ghidra_native_pseudocode/3229dbc.c,0x26CF4EC,0x26BF4EC,DragonU3DSDK.Storage.StorageSummerWatermelonFifteen$$set_BiMaxMergeItemLevel,1,StorageSummerWatermelonFifteen,public void set_BiMaxMergeItemLevel(int value) { },decompiled_rebased_without_autoanalysis,1
0x3229DBC,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },code/Ghidra_native_pseudocode/3229dbc.c,0x323C5D0,0x322C5D0,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_StorageSummerWatermelon,1,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },decompiled_rebased_without_autoanalysis,2
0x3229DBC,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },code/Ghidra_native_pseudocode/3229dbc.c,0x323CDE4,0x322CDE4,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_SummerWatermelonConfig,1,SummerWatermelonModel,public SummerWatermelonThirtyFourConfig get_SummerWatermelonConfig() { },decompiled_rebased_without_autoanalysis,2
0x3229DBC,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },code/Ghidra_native_pseudocode/3229dbc.c,0x323DA64,0x322DA64,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_SummerWatermelonMergeRewardConfig,1,SummerWatermelonModel,"public Dictionary<int, SummerWatermelonThirtyFourMergeRewardConfig> get_SummerWatermelonMergeRewardConfig() { }",decompiled_rebased_without_autoanalysis,1
0x3229DBC,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },code/Ghidra_native_pseudocode/3229dbc.c,0x323E25C,0x322E25C,Activity.SummerWatermelon_34.SummerWatermelonModel$$IsOpened,1,SummerWatermelonModel,public bool IsOpened(bool hasLog = False) { },decompiled_rebased_without_autoanalysis,1
0x322A1D0,SummerWatermelonModel,public StorageList<int> get_UnSetRewards() { },code/Ghidra_native_pseudocode/322a1d0.c,0x323C5D0,0x322C5D0,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_StorageSummerWatermelon,1,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },decompiled_rebased_without_autoanalysis,1
0x322A390,SummerWatermelonMergeBoard1,"public override void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",code/Ghidra_native_pseudocode/322a390.c,0x2BED744,0x2BDD744,MergeBoard$$IndexToPosition,1,MergeBoard,public Vector3 IndexToPosition(int index) { },decompiled_rebased_without_autoanalysis,1
0x322A390,SummerWatermelonMergeBoard1,"public override void OnNewItem(int index, int oldIndex, int id, int oldId, RefreshItemSource source) { }",code/Ghidra_native_pseudocode/322a390.c,0x323A4F8,0x322A4F8,Activity.SummerWatermelon_34.SummerWatermelonModel$$OnNewItem,1,SummerWatermelonModel,"public void OnNewItem(int id, RefreshItemSource source, Vector3 startPos) { }",decompiled_rebased_without_autoanalysis,1
0x322A648,SummerWatermelonMergeBoard1,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/322a648.c,0x29A6FA8,0x2996FA8,GameConfigManager$$GetItemConfig,1,GameConfigManager,public TableMergeItem GetItemConfig(int id) { },decompiled_rebased_without_autoanalysis,1
0x322A648,SummerWatermelonMergeBoard1,"public override void OnUseItem(int index, int id) { }",code/Ghidra_native_pseudocode/322a648.c,0x2BF1544,0x2BE1544,MergeBoard$$OnUseItem,1,MergeBoard,"public virtual void OnUseItem(int index, int id) { }",decompiled_rebased_without_autoanalysis,1
