source_file,namespace,type,typedef_index,declaration_with_inheritance_and_interfaces,dumper_block
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass170_1,4917,private sealed class SummerWatermelonModel.<>c__DisplayClass170_1 // TypeDefIndex: 4917,code/Il2CppDumper_type_signatures/04917.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass171_0,4918,private sealed class SummerWatermelonModel.<>c__DisplayClass171_0 // TypeDefIndex: 4918,code/Il2CppDumper_type_signatures/04918.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_0,4919,private sealed class SummerWatermelonModel.<>c__DisplayClass52_0 // TypeDefIndex: 4919,code/Il2CppDumper_type_signatures/04919.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_1,4920,private sealed class SummerWatermelonModel.<>c__DisplayClass52_1 // TypeDefIndex: 4920,code/Il2CppDumper_type_signatures/04920.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass56_0,4921,private sealed class SummerWatermelonModel.<>c__DisplayClass56_0 // TypeDefIndex: 4921,code/Il2CppDumper_type_signatures/04921.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass98_0,4922,private sealed class SummerWatermelonModel.<>c__DisplayClass98_0 // TypeDefIndex: 4922,code/Il2CppDumper_type_signatures/04922.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass99_0,4923,private sealed class SummerWatermelonModel.<>c__DisplayClass99_0 // TypeDefIndex: 4923,code/Il2CppDumper_type_signatures/04923.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,4924,private struct SummerWatermelonModel.<OnNewItem>d__98 : IAsyncStateMachine // TypeDefIndex: 4924,code/Il2CppDumper_type_signatures/04924.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_32/SummerWatermelonModel.cs,Activity.SummerWatermelon_32,SummerWatermelonModel,4925,public class SummerWatermelonModel : ActivityEntityBase // TypeDefIndex: 4925,code/Il2CppDumper_type_signatures/04925.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_29/SummerWatermelonMergeBoard.cs,Activity.SummerWatermelon_29,SummerWatermelonMergeBoard,4980,public class SummerWatermelonMergeBoard : MergeBoard // TypeDefIndex: 4980,code/Il2CppDumper_type_signatures/04980.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_29/SummerWatermelonMergeBoard_Big.cs,Activity.SummerWatermelon_29,SummerWatermelonMergeBoard_Big,4981,public class SummerWatermelonMergeBoard_Big : MergeBoard // TypeDefIndex: 4981,code/Il2CppDumper_type_signatures/04981.txt
