source_file,namespace,type,typedef_index,field_declaration_and_offset
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,public static string battlePassCoolTimeKey; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,private int _redPointNum; // 0x54
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,public static string packageCoolTimeKey; // 0x10
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,public static string newpackageCoolTimeKey; // 0x14
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c,5227,public static readonly SummerWatermelonModel.<>c <>9; // 0x0
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c,5227,public static Action <>9__168_0; // 0x4
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c,5227,public static Predicate<SummerWatermelonTwentyEightPackageConfig> <>9__171_0; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass142_0,5228,public BattlePassTwentyEight config; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass170_0,5229,public SummerWatermelonModel <>4__this; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass170_0,5229,public bool openPopup; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass170_1,5230,public SummerWatermelonTwentyEightPackageConfig config; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass171_0,5231,public int index; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass171_0,5231,public SummerWatermelonTwentyEightPackageReward _curGiftBagData; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass171_0,5231,public SummerWatermelonModel <>4__this; // 0x10
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_0,5232,public int maxNum; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_0,5232,public SummerWatermelonModel <>4__this; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_0,5232,public int rewardNum; // 0x10
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_1,5233,public int currentNum; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_1,5233,public SummerWatermelonModel.<>c__DisplayClass52_0 CS$<>8__locals1; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass56_0,5234,public Vector3 position; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass56_0,5234,public Action action; // 0x14
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass98_0,5235,public SummerWatermelonModel <>4__this; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass98_0,5235,public TableMergeItem itemConfig; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass99_0,5236,public List<ResData> rewardsList; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass99_0,5236,public TaskCompletionSource<bool> taskRewardCollect; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,5237,public int <>1__state; // 0x0
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,5237,public AsyncVoidMethodBuilder <>t__builder; // 0x4
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,5237,public SummerWatermelonModel <>4__this; // 0x14
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,5237,public int id; // 0x18
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,5237,public RefreshItemSource source; // 0x1C
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,5237,public Vector3 startPos; // 0x20
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,5237,private SummerWatermelonModel.<>c__DisplayClass98_0 <>8__1; // 0x2C
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,5237,private TaskAwaiter <>u__1; // 0x30
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__98,5237,private TaskAwaiter<bool> <>u__2; // 0x34
