typedef_index,image,namespace,type_name,declaration,selection_reason,generated_csharp_file,metadata_block_file,arm64_file,method_count,native_rva_count,ghidra_method_count,generic_native_instantiation_count,generated_csharp_sha256,bounded_method_count
233,TravelTown.Main.dll,MergeEngine.Signal.Items,MergeItemDiscoveredSignal,public class MergeItemDiscoveredSignal : MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/MergeItemDiscoveredSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000233.txt,native_arm64/TravelTown.Main/000233_MergeItemDiscoveredSignal.s,1,1,1,0,3dddb02fd8db5a02ae276e934dca56fd129c4cb3a11209cfa1dec6ff0b2dbb3b,0
234,TravelTown.Main.dll,MergeEngine.Signal.Items,MergeItemSignalBase,public class MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/MergeItemSignalBase.cs,metadata_blocks/TravelTown.Main/TypeDef_000234.txt,native_arm64/TravelTown.Main/000234_MergeItemSignalBase.s,4,4,0,0,e9ab6b7bc4ceed51058a827bc2d370aa017f8d9b20f903b8cf32a3dc29bc9dcf,0
235,TravelTown.Main.dll,MergeEngine.Signal.Items,ProducerOutputItemSignal,public class ProducerOutputItemSignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ProducerOutputItemSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000235.txt,native_arm64/TravelTown.Main/000235_ProducerOutputItemSignal.s,1,1,0,0,5bffaeffaa18c59f3e2a4dce45d865af1fe615f4311d27c129ef0fdf98c2802c,0
237,TravelTown.Main.dll,MergeEngine.Signal.Items,ProducerSpawnedItemSignal,public class ProducerSpawnedItemSignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ProducerSpawnedItemSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000237.txt,native_arm64/TravelTown.Main/000237_ProducerSpawnedItemSignal.s,3,3,0,0,24b14a1fec6f98a741f01431b2a09de98bcd1a14a7f8ce1cbc11566c5caeed6f,0
239,TravelTown.Main.dll,MergeEngine.Signal.Items,SpawnerSpawnedItemSignal,public class SpawnerSpawnedItemSignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/SpawnerSpawnedItemSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000239.txt,native_arm64/TravelTown.Main/000239_SpawnerSpawnedItemSignal.s,5,5,0,0,83616f0cbe5542da1305acddcb16a3198e2bc1e13b30ec57599867776b7ff696,0
240,TravelTown.Main.dll,MergeEngine.Signal.Items,ToolItemSpawnedSignal,public class ToolItemSpawnedSignal : MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ToolItemSpawnedSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000240.txt,native_arm64/TravelTown.Main/000240_ToolItemSpawnedSignal.s,2,2,0,0,deee63f5169337ed2a3e2d782b7e0b689b93bb3cb39a80a81acdc463108b3039,0
241,TravelTown.Main.dll,MergeEngine.Signal.Inventory,InventoryBaseSignal,public class InventoryBaseSignal,库存流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Inventory/InventoryBaseSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000241.txt,native_arm64/TravelTown.Main/000241_InventoryBaseSignal.s,5,5,0,0,4919712434565b0c7188ad14e7c42de7dbb1c82b1fd49adf8583a4455003009c,0
242,TravelTown.Main.dll,MergeEngine.Signal.Inventory,InventoryItemAddedSignal,public class InventoryItemAddedSignal : InventoryBaseSignal,库存流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Inventory/InventoryItemAddedSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000242.txt,native_arm64/TravelTown.Main/000242_InventoryItemAddedSignal.s,1,1,0,0,8a1d43c2b552e3e0e518017e5e061c44b1536e62d5e8f3d0a1203a88f3001691,0
243,TravelTown.Main.dll,MergeEngine.Signal.Inventory,ItemAddedToInventorySignal,public class ItemAddedToInventorySignal : ItemAmountInventoryBaseSignal,库存流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Inventory/ItemAddedToInventorySignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000243.txt,native_arm64/TravelTown.Main/000243_ItemAddedToInventorySignal.s,4,4,0,0,51117022b59eb687d6b1137ef17e7afc23e66de20375bf9b842c550eed06ce86,0
244,TravelTown.Main.dll,MergeEngine.Signal.Inventory,ItemAmountInventoryBaseSignal,public class ItemAmountInventoryBaseSignal : InventoryBaseSignal,库存流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Inventory/ItemAmountInventoryBaseSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000244.txt,native_arm64/TravelTown.Main/000244_ItemAmountInventoryBaseSignal.s,1,1,0,0,c906396382b3aa2bed4a228cd358f4d45de74dc1487acce500a03c9415613067,0
