caller_rva,caller_type_indices,callee_rva,callee_type_index,callee_namespace,callee_type,callee_signature,callee_selected
0x6709D8C,8933,0x662BE18,8289,Merger.Game.ViewModel,InventoryProducerViewModel,public ReadOnlyCollection<string> get_NewProducerSlotItemIds() { },True
0x6709D8C,8933,0x662BEC8,8289,Merger.Game.ViewModel,InventoryProducerViewModel,public IMergeItem GetItem(int slotIndex) { },True
0x6709D8C,8933,0x6708F98,8932,Merger.Game.Views.Inventory,InventoryProducerSlotView,public void add_TryRemove(Action<int> value) { },True
0x6709D8C,8933,0x67090F8,8932,Merger.Game.Views.Inventory,InventoryProducerSlotView,public void add_InfoRequested(Action<IMergeItem> value) { },True
0x6709D8C,8933,0x670945C,8932,Merger.Game.Views.Inventory,InventoryProducerSlotView,public void set_IsStored(bool value) { },True
0x6709D8C,8933,0x67095FC,8932,Merger.Game.Views.Inventory,InventoryProducerSlotView,public void ActivateNewBanner() { },True
0x6709D8C,8933,0x6709970,8933,Merger.Game.Views.Inventory,InventoryProducerView,private void ClearInventory() { },True
0x6709D8C,8933,0x670A200,8933,Merger.Game.Views.Inventory,InventoryProducerView,"private void DecorateSlotWithUnlockText(InventoryProducerSlotView producerSlotView, int i) { }",True
0x6709D8C,8933,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6709D8C,8933,0x694BC78,11215,Framework.Core.MVVM.ViewModel,ViewModelBase,"public GameObject InstantiateInjected(GameObject original, Transform parent, bool worldPositionStays = False) { }",True
0x670A200,8933,0x662BBDC,8289,Merger.Game.ViewModel,InventoryProducerViewModel,public List<ProducerInventorySlotViewData> get_UnlocksAtItems() { },True
0x670A55C,8933,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x670A70C,8933,0x6709048,8932,Merger.Game.Views.Inventory,InventoryProducerSlotView,public void remove_TryRemove(Action<int> value) { },True
0x671A290,9040,0x671A194,9040,Merger.Game.Views.Components,MergeItemView,protected Sprite get_EmptyIconSprite() { },True
0x6730164,9136,0x67301BC,9136,Merger.Game.Views.BoardItem,BoardItemView2,public RectTransform GetContainer(string containerId) { },True
0x6730418,9136,0x668E8A0,8571,Merger.Game.Views,BoardItemViewBase,public void set_IsTweened(bool value) { },True
0x6730418,9136,0x67305AC,9136,Merger.Game.Views.BoardItem,BoardItemView2,private void RegisterExistingBoardItemViewBehaviours() { },True
0x6730418,9136,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x67305AC,9136,0x67309D0,9136,Merger.Game.Views.BoardItem,BoardItemView2,"private void RegisterBehaviour(IBoardItemViewBehaviour behaviour, Type behaviourType, bool isPersistent, bool initialize = True) { }",True
0x6730758,9136,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x67307CC,9136,0x6730D14,9136,Merger.Game.Views.BoardItem,BoardItemView2,"private void RemoveBehaviour(IBoardItemViewBehaviour viewBehaviour, Type behaviourType, bool dispose = True) { }",True
0x6730B08,9136,0x668EBFC,8571,Merger.Game.Views,BoardItemViewBase,protected virtual void PointerClicked() { },True
0x6731040,9136,0x668EACC,8571,Merger.Game.Views,BoardItemViewBase,protected virtual void OnEnable() { },True
0x67316BC,9137,0x6731778,9137,Merger.Game.Views.BoardItem,BoardItemViewBehaviourFactory,private void CreateAttachers() { },True
0x6731778,9137,0x3BDA090,9137,Merger.Game.Views.BoardItem,BoardItemViewBehaviourFactory,Merger.Game.Views.BoardItem.BoardItemViewBehaviourFactory$$RegisterAttacher<object>,True
0x6731BE0,9137,0x673105C,9136,Merger.Game.Views.BoardItem,BoardItemView2,public void NotifyBehaviourAdded() { },True
0x6738DD8,9170,0x6738C8C,9170,Merger.Game.Views.BoardItem.ViewBehaviours,LockBehaviour,public bool get_IsShaking() { },True
0x67392BC,9170,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x674127C,9220,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x67412F0,9220,0x664B454,8392,Merger.Game.ViewModel.Board,BoardQueueViewModel,public AssetReferenceT<Sprite> get_FirstQueuedItemSprite() { },True
0x6741344,9220,0x3BC70A8,10424,Framework.Core,Base,Framework.Core.Base$$SubscribeToSignal<object>,True
0x6741344,9220,0x3BC7104,10424,Framework.Core,Base,Framework.Core.Base$$SubscribeToSignal<object>,True
0x6741344,9220,0x5269B94,8590,Merger.Game.Views,GameViewBase<TViewModel>,Merger.Game.Views.GameViewBase<object>$$Awake,True
0x6741344,9220,0x664B72C,8392,Merger.Game.ViewModel.Board,BoardQueueViewModel,public BindableProperty<GameState> get_PrimaryGameState() { },True
0x67416EC,9220,0x67412F0,9220,Merger.Game.Views.Board,BoardQueueView,private bool get_HasItems() { },True
0x67416EC,9220,0x6741750,9220,Merger.Game.Views.Board,BoardQueueView,private void TryDisplayQueuedItem() { },True
0x67416EC,9220,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6741750,9220,0x664B454,8392,Merger.Game.ViewModel.Board,BoardQueueViewModel,public AssetReferenceT<Sprite> get_FirstQueuedItemSprite() { },True
0x6741750,9220,0x664B51C,8392,Merger.Game.ViewModel.Board,BoardQueueViewModel,public double get_ItemDuration() { },True
0x6741750,9220,0x664B680,8392,Merger.Game.ViewModel.Board,BoardQueueViewModel,public int get_NumItemsInQueue() { },True
0x6741750,9220,0x6741248,9220,Merger.Game.Views.Board,BoardQueueView,private GameObject get__counter() { },True
0x6741750,9220,0x67412F0,9220,Merger.Game.Views.Board,BoardQueueView,private bool get_HasItems() { },True
0x6741750,9220,0x67424A8,9220,Merger.Game.Views.Board,BoardQueueView,private void TryEnableQueueView() { },True
0x6741994,9220,0x674127C,9220,Merger.Game.Views.Board,BoardQueueView,private RectTransform get_ParentContainer() { },True
0x67419FC,9220,0x67412F0,9220,Merger.Game.Views.Board,BoardQueueView,private bool get_HasItems() { },True
0x6741A4C,9220,0x5269B3C,8590,Merger.Game.Views,GameViewBase<TViewModel>,Merger.Game.Views.GameViewBase<object>$$get_HasGameStarted,True
0x6741A4C,9220,0x664B664,8392,Merger.Game.ViewModel.Board,BoardQueueViewModel,public bool get_IsBoardFull() { },True
0x6741A4C,9220,0x664B680,8392,Merger.Game.ViewModel.Board,BoardQueueViewModel,public int get_NumItemsInQueue() { },True
0x6741A4C,9220,0x664B69C,8392,Merger.Game.ViewModel.Board,BoardQueueViewModel,public int get_PlayerLevel() { },True
