Caller	CallerRVA	CalleeRVA	Il2CppDumperCalleeName	CalleeSignature	PseudocodeFile
ItemChainManager.GetItemLinksAtArchiveLevel	1906F28	2BF5E28	System.Collections.Generic.List<HotSalesTester.RemovedBoardItemTestCode>$$.ctor	void System_Collections_Generic_List_HotSalesTester_RemovedBoardItemTestCode____ctor (System_Collections_Generic_List_HotSalesTester_RemovedBoardItemTestCode__o* __this, System_Collections_Generic_IEnumerable_T__o* collection, const MethodInfo_2BF5E28* method);	ghidra_data_pseudocode.c
ItemChainManager.GetItemLinkWithItemSet	1907084	27F4BE0	System.Linq.GroupedEnumerable<object, int, object>$$.ctor	void System_Linq_GroupedEnumerable_object__int__object____ctor (System_Linq_GroupedEnumerable_TSource__TKey__TElement__o* __this, System_Collections_Generic_IEnumerable_TSource__o* source, System_Func_TSource__TKey__o* keySelector, System_Func_TSource__TElement__o* elementSelector, System_Collections_Generic_IEqualityComparer_TKey__o* comparer, const MethodInfo_27F4BE0* method);	ghidra_data_pseudocode.c
ItemChainManager.GetItemLinkWithItemSet	1907084	2842564	System.Linq.IdentityFunction<object>$$get_Instance	System_Func_TElement__TElement__o* System_Linq_IdentityFunction_object___get_Instance (const MethodInfo_2842564* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	187DD58	MergePuzzle.MasterFeatureHandler$$GetHotSalesHandler	Paxie_MergePuzzle_HotSales_Model_HotSalesHandler_o* MergePuzzle_MasterFeatureHandler__GetHotSalesHandler (MergePuzzle_MasterFeatureHandler_o* __this, const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	18DE40C	MergePuzzle.BoardController$$GetBoardTaskController	MergePuzzle_BoardTaskController_o* MergePuzzle_BoardController__GetBoardTaskController (MergePuzzle_BoardController_o* __this, const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	194D52C	MergePuzzle.BoardTaskController$$get_BoardTaskItemControllers	System_Collections_Generic_List_BoardTaskItemController__o* MergePuzzle_BoardTaskController__get_BoardTaskItemControllers (MergePuzzle_BoardTaskController_o* __this, const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	196AE60	MergePuzzle.BoardTaskItemController$$UpdateGoalUI	void MergePuzzle_BoardTaskItemController__UpdateGoalUI (MergePuzzle_BoardTaskItemController_o* __this, bool focus, bool refreshImmediate, const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	1A7AD40	MergePuzzle.MasterController$$get_BoardController	MergePuzzle_BoardController_o* MergePuzzle_MasterController__get_BoardController (MergePuzzle_MasterController_o* __this, const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	1C4865C	MergePuzzle.Rope.EventBusService.EventBusRaiser$$SaveBoard	void MergePuzzle_Rope_EventBusService_EventBusRaiser__SaveBoard (int32_t eventIndex, const MethodInfo* method);	ghidra_data_pseudocode.c
ItemChainManager.ReplaceOldSetIDs	19071BC	1CDBF9C	Paxie.MergePuzzle.HotSales.Model.HotSalesHandler$$Refresh	void Paxie_MergePuzzle_HotSales_Model_HotSalesHandler__Refresh (Paxie_MergePuzzle_HotSales_Model_HotSalesHandler_o* __this, const MethodInfo* method);	ghidra_data_pseudocode.c
