type,signature,reason
FAT.Merge.IMergeBonusHandler,public abstract int get_priority();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeBonusHandler,public abstract void Process(MergeBonusContext context);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeBonusHandler,public abstract void OnRegister();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeBonusHandler,public abstract void OnUnRegister();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeWorldPrivate,public abstract MergeWorld get_world();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeWorldPrivate,"public abstract bool GrabUnusedItem(int itemId, out Item item);",Il2CppDumper RVA = -1; no native address
FAT.Merge.ActivitySpawnBonusHandler,public void .ctor(T activity) { },Il2CppDumper RVA = -1; no native address
FAT.Merge.ActivitySpawnBonusHandler,private int FAT.Merge.ISpawnBonusHandler.get_priority() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.ActivitySpawnBonusHandler,private void FAT.Merge.ISpawnBonusHandler.OnRegister() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.ActivitySpawnBonusHandler,private void FAT.Merge.ISpawnBonusHandler.OnUnRegister() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.ActivitySpawnBonusHandler,private void FAT.Merge.ISpawnBonusHandler.Process(SpawnBonusContext context) { },Il2CppDumper RVA = -1; no native address
FAT.Merge.BaseItemSpawnBonusHandler,protected abstract bool IsValid();,Il2CppDumper RVA = -1; no native address
FAT.Merge.BaseItemSpawnBonusHandler,protected abstract int GetActivityCostId();,Il2CppDumper RVA = -1; no native address
FAT.Merge.BaseItemSpawnBonusHandler,protected abstract void EnsureOutputMap();,Il2CppDumper RVA = -1; no native address
FAT.Merge.BaseItemSpawnBonusHandler,protected abstract ReasonString GetRewardReason();,Il2CppDumper RVA = -1; no native address
FAT.Merge.BaseItemSpawnBonusHandler,protected abstract FlyType GetFlyType();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IScoreActivity,"public abstract void AddScore(int score, SpawnBonusContext context);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IScoreActivity,public abstract int GetCost();,Il2CppDumper RVA = -1; no native address
FAT.Merge.ISpawnBonusHandler,public abstract int get_priority();,Il2CppDumper RVA = -1; no native address
FAT.Merge.ISpawnBonusHandler,public abstract void Process(SpawnBonusContext context);,Il2CppDumper RVA = -1; no native address
FAT.Merge.ISpawnBonusHandler,public abstract void OnRegister();,Il2CppDumper RVA = -1; no native address
FAT.Merge.ISpawnBonusHandler,public abstract void OnUnRegister();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract long GetTimestamp();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract bool IsFeatureEnable(MergeFeatureType feature);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract bool IsOrderItem(int id);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract IDictionary<int, int> GetFixedItemOutputDB();",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,"public abstract IDictionary<int, int> GetFixedCategoryOutputDB();",Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract void OnItemShowInView(int tid);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract Global GetGlobalConfig();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract ObjBasic GetItemConfig(int id);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract ObjMergeItem GetItemMergeConfig(int id);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract ItemComConfig GetItemComConfig(int id);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract MergeItemCategory GetCategoryByItem(int id);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeEnvironment,public abstract MergeFixedOutput GetFixedOutputConfig(int categoryId);,Il2CppDumper RVA = -1; no native address
